"model","Vp","Component","Variance","Proportion","Percentage"
" Model a ",205.544459866123,"Vid",85.485640822849,0.415898540289182,41.5898540289182
" Model a ",205.544459866123,"Va",0,0,0
" Model a ",205.544459866123,"Vcsect",0,0,0
" Model a ",205.544459866123,"Vbi",0,0,0
" Model a ",205.544459866123,"Vcspat",0,0,0
" Model a ",205.544459866123,"Vcenv",0,0,0
" Model a ",205.544459866123,"Vr",120.058819043274,0.584101459710818,58.4101459710818
" Model b ",205.70716750918,"Vid",77.121486976091,0.374909089993908,37.4909089993908
" Model b ",205.70716750918,"Va",8.50979773488105,0.0413685037712713,4.13685037712713
" Model b ",205.70716750918,"Vcsect",0,0,0
" Model b ",205.70716750918,"Vbi",0,0,0
" Model b ",205.70716750918,"Vcspat",0,0,0
" Model b ",205.70716750918,"Vcenv",0,0,0
" Model b ",205.70716750918,"Vr",120.075882798208,0.583722406234821,58.3722406234821
" Model c ",205.654038596125,"Vid",79.8887593773354,0.388461903897864,38.8461903897864
" Model c ",205.654038596125,"Va",0,0,0
" Model c ",205.654038596125,"Vcsect",4.32223208075143,0.0210170055995821,2.10170055995821
" Model c ",205.654038596125,"Vbi",0,0,0
" Model c ",205.654038596125,"Vcspat",0,0,0
" Model c ",205.654038596125,"Vcenv",0,0,0
" Model c ",205.654038596125,"Vr",121.443047138038,0.590521090502554,59.0521090502554
" Model d ",205.75365009935,"Vid",76.6015390371448,0.372297351712385,37.2297351712385
" Model d ",205.75365009935,"Va",0,0,0
" Model d ",205.75365009935,"Vcsect",0,0,0
" Model d ",205.75365009935,"Vbi",8.93341168805667,0.0434179985810365,4.34179985810365
" Model d ",205.75365009935,"Vcspat",0,0,0
" Model d ",205.75365009935,"Vcenv",0,0,0
" Model d ",205.75365009935,"Vr",120.218699374149,0.584284649706579,58.4284649706579
" Model e ",205.658322275098,"Vid",75.5622105939471,0.367416255068305,36.7416255068305
" Model e ",205.658322275098,"Va",0,0,0
" Model e ",205.658322275098,"Vcsect",4.2287914995968,0.0205622191838178,2.05622191838178
" Model e ",205.658322275098,"Vbi",4.42628455325706,0.0215225161048249,2.15225161048249
" Model e ",205.658322275098,"Vcspat",0,0,0
" Model e ",205.658322275098,"Vcenv",0,0,0
" Model e ",205.658322275098,"Vr",121.441035628297,0.590499009643052,59.0499009643052
" Model f ",205.65832204704,"Vid",75.5622243950707,0.36741632258279,36.741632258279
" Model f ",205.65832204704,"Va",6.67237877212466e-06,3.24440008345419e-08,3.24440008345419e-06
" Model f ",205.65832204704,"Vcsect",4.22878913242156,0.0205622076963864,2.05622076963864
" Model f ",205.65832204704,"Vbi",4.42626646211239,0.0215224281616961,2.15224281616961
" Model f ",205.65832204704,"Vcspat",0,0,0
" Model f ",205.65832204704,"Vcenv",0,0,0
" Model f ",205.65832204704,"Vr",121.441035385057,0.590499009115127,59.0499009115127
" Model g ",214.599362561797,"Vid",78.4502353826191,0.365566022406186,36.5566022406186
" Model g ",214.599362561797,"Va",1.1390954024771e-05,5.30800925445004e-08,5.30800925445004e-06
" Model g ",214.599362561797,"Vcsect",0,0,0
" Model g ",214.599362561797,"Vbi",0,0,0
" Model g ",214.599362561797,"Vcspat",16.0514697862161,0.0747973786809074,7.47973786809074
" Model g ",214.599362561797,"Vcenv",0,0,0
" Model g ",214.599362561797,"Vr",120.097646002008,0.559636545832814,55.9636545832814
" Model h ",212.946321883376,"Vid",79.1364509591371,0.371626287128254,37.1626287128254
" Model h ",212.946321883376,"Va",2.94070375144135e-05,1.38096010554805e-07,1.38096010554805e-05
" Model h ",212.946321883376,"Vcsect",0,0,0
" Model h ",212.946321883376,"Vbi",0,0,0
" Model h ",212.946321883376,"Vcspat",0,0,0
" Model h ",212.946321883376,"Vcenv",13.7312757082653,0.064482333326168,6.4482333326168
" Model h ",212.946321883376,"Vr",120.078565808936,0.563891241449567,56.3891241449567
" Model i ",214.599360803334,"Vid",78.4502351129833,0.365566024145233,36.5566024145233
" Model i ",214.599360803334,"Va",1.12839301307331e-05,5.25813781014662e-08,5.25813781014662e-06
" Model i ",214.599360803334,"Vcsect",0,0,0
" Model i ",214.599360803334,"Vbi",0,0,0
" Model i ",214.599360803334,"Vcspat",16.051460339577,0.074797335273925,7.4797335273925
" Model i ",214.599360803334,"Vcenv",8.0898870705665e-06,3.76976289224846e-08,3.76976289224846e-06
" Model i ",214.599360803334,"Vr",120.097645976957,0.559636550301835,55.9636550301835
