"model","Vp","Component","Variance","Proportion","Percentage"
" Model a ",19.5039957966583,"Vid",4.02494583089125,0.206365191669128,20.6365191669128
" Model a ",19.5039957966583,"Va",0,0,0
" Model a ",19.5039957966583,"Vcsect",0,0,0
" Model a ",19.5039957966583,"Vbi",0,0,0
" Model a ",19.5039957966583,"Vlog",0,0,0
" Model a ",19.5039957966583,"Vcspat",0,0,0
" Model a ",19.5039957966583,"Vcenv",0,0,0
" Model a ",19.5039957966583,"Vr",15.479049965767,0.793634808330872,79.3634808330872
" Model b ",19.5247161410924,"Vid",3.43000980896103,0.175675271495606,17.5675271495606
" Model b ",19.5247161410924,"Va",0.615644463061119,0.0315315448691934,3.15315448691934
" Model b ",19.5247161410924,"Vcsect",0,0,0
" Model b ",19.5247161410924,"Vbi",0,0,0
" Model b ",19.5247161410924,"Vlog",0,0,0
" Model b ",19.5247161410924,"Vcspat",0,0,0
" Model b ",19.5247161410924,"Vcenv",0,0,0
" Model b ",19.5247161410924,"Vr",15.4790618690702,0.792793183635201,79.2793183635201
" Model c ",19.7197914376981,"Vid",3.9633550057504,0.200983616803051,20.0983616803051
" Model c ",19.7197914376981,"Va",0,0,0
" Model c ",19.7197914376981,"Vcsect",0.166325043400076,0.00843442203359791,0.843442203359791
" Model c ",19.7197914376981,"Vbi",0,0,0
" Model c ",19.7197914376981,"Vlog",0,0,0
" Model c ",19.7197914376981,"Vcspat",0,0,0
" Model c ",19.7197914376981,"Vcenv",0,0,0
" Model c ",19.7197914376981,"Vr",15.5901113885476,0.790581961163351,79.0581961163351
" Model d ",19.5513579942542,"Vid",3.62183819138136,0.185247397773891,18.5247397773891
" Model d ",19.5513579942542,"Va",0,0,0
" Model d ",19.5513579942542,"Vcsect",0,0,0
" Model d ",19.5513579942542,"Vbi",0.431573844808978,0.0220738551734263,2.20738551734263
" Model d ",19.5513579942542,"Vlog",0,0,0
" Model d ",19.5513579942542,"Vcspat",0,0,0
" Model d ",19.5513579942542,"Vcenv",0,0,0
" Model d ",19.5513579942542,"Vr",15.4979459580639,0.792678747052683,79.2678747052683
" Model e ",19.7229048182761,"Vid",3.66865361539082,0.186009801760605,18.6009801760605
" Model e ",19.7229048182761,"Va",0,0,0
" Model e ",19.7229048182761,"Vcsect",0.162208855138514,0.00822438969477783,0.822438969477783
" Model e ",19.7229048182761,"Vbi",0.301938619738277,0.015309033964332,1.5309033964332
" Model e ",19.7229048182761,"Vlog",0,0,0
" Model e ",19.7229048182761,"Vcspat",0,0,0
" Model e ",19.7229048182761,"Vcenv",0,0,0
" Model e ",19.7229048182761,"Vr",15.5901037280085,0.790456774580285,79.0456774580285
" Model f ",20.8779104218972,"Vid",1.58650335867082,0.0759895663220616,7.59895663220616
" Model f ",20.8779104218972,"Va",0.0125528551256007,0.000601250550075882,0.0601250550075882
" Model f ",20.8779104218972,"Vcsect",0.00303380246727394,0.000145311595172476,0.0145311595172476
" Model f ",20.8779104218972,"Vbi",0.132739968561297,0.00635791445977641,0.635791445977641
" Model f ",20.8779104218972,"Vlog",5.43236296266053,0.260196679307664,26.0196679307664
" Model f ",20.8779104218972,"Vcspat",0,0,0
" Model f ",20.8779104218972,"Vcenv",0,0,0
" Model f ",20.8779104218972,"Vr",13.7107174744117,0.65670927776525,65.670927776525
" Model g ",19.8168570503776,"Vid",3.79040932182351,0.191271971745453,19.1271971745453
" Model g ",19.8168570503776,"Va",0.00877800140774078,0.000442956286429562,0.0442956286429562
" Model g ",19.8168570503776,"Vcsect",0,0,0
" Model g ",19.8168570503776,"Vbi",0,0,0
" Model g ",19.8168570503776,"Vlog",0,0,0
" Model g ",19.8168570503776,"Vcspat",0.538499872818115,0.0271738283951467,2.71738283951467
" Model g ",19.8168570503776,"Vcenv",0,0,0
" Model g ",19.8168570503776,"Vr",15.4791698543283,0.781111243572971,78.1111243572971
" Model h ",19.7326857625257,"Vid",3.60219489287744,0.182549650677474,18.2549650677474
" Model h ",19.7326857625257,"Va",0.270746590386052,0.0137207166649471,1.37207166649471
" Model h ",19.7326857625257,"Vcsect",0,0,0
" Model h ",19.7326857625257,"Vbi",0,0,0
" Model h ",19.7326857625257,"Vlog",0,0,0
" Model h ",19.7326857625257,"Vcspat",0,0,0
" Model h ",19.7326857625257,"Vcenv",0.380633395655832,0.0192894875151102,1.92894875151102
" Model h ",19.7326857625257,"Vr",15.4791108836064,0.784440145142468,78.4440145142468
" Model i ",19.8168569880492,"Vid",3.79040931260714,0.191271971881969,19.1271971881969
" Model i ",19.8168569880492,"Va",0.0087779898461264,0.000442955704399546,0.0442955704399546
" Model i ",19.8168569880492,"Vcsect",0,0,0
" Model i ",19.8168569880492,"Vbi",0,0,0
" Model i ",19.8168569880492,"Vlog",0,0,0
" Model i ",19.8168569880492,"Vcspat",0.538499644666751,0.02717381696762,2.717381696762
" Model i ",19.8168569880492,"Vcenv",1.86598476977595e-07,9.41614894279782e-09,9.41614894279782e-07
" Model i ",19.8168569880492,"Vr",15.4791698543307,0.781111246029863,78.1111246029863
