"pnum","id","Section","Lay.date","April.lay.date","Hatch.date","April.hatch.date","Incubation.duration","Clutch.size","Num.chicks","April.ring.date","Mean.chick.weight","nestbox","birthyear","box","section","x","y","edge_edi","altitude_m","northness","no_trees_75m","area_polygon","area_polygon_sqrt"
"20051EX31A","TE80267","ex","2005-04-20","20","2005-05-11","41",NA,"9","8",55,NA,"EX31A","2005","EX31A","EX",445950.33,208948.71,504.453,110.155,-0.353736055,21,19801.9380737288,140.719359271313
"20051MP42","TE79039","mp","2005-04-16","16","2005-05-07","37",NA,"6","5",52,NA,"MP42","2005","MP42","MP",448447.72,207210.76,100.509,68.1268,0.311961841,29,4463.52730322257,66.8096348083311
"20061EX45","TC59686","ex","2006-04-23","23",NA,NA,NA,"10","9",60,NA,"EX45","2006","EX45","EX",445963.33,208750.71,395.424,134.194,0.968561455,20,9450.96057309629,97.2160510054605
"20071C33","TB27292","c","2007-04-16","16","2007-05-05","35",NA,"8","7",49,NA,"C33","2007","C33","C",446313.72,206692.76,118.05,93.0168,-0.947210278,88,5595.48311488144,74.802961939227
"20071C42","TB27473","c","2007-04-18","18","2007-05-07","37",NA,"8","7",50,NA,"C42","2007","C42","C",446533.94,207017.58,1.56744,111.347,-0.989530827,12,3829.25138532929,61.88094525239
"20071C54","TB27439","c","2007-04-16","16","2007-05-05","35",NA,"8","8",49,NA,"C54","2007","C54","C",446580.33,206812.71,14.9609,99.5421,-0.269306437,15,1828.54503892781,42.7614901392341
"20071EX34A","TJ27916","ex","2007-04-19","19","2007-05-09","39",NA,"10","10",53,NA,"EX34A","2007","EX34A","EX",445694.33,208899.71,422.176,108.682,0.831450219,36,5201.02294497378,72.1181180077086
"20071EX52","TC58613","ex","2007-04-12","12","2007-05-02","32",NA,"10","9",46,NA,"EX52","2007","EX52","EX",446477.33,208704.71,122.319,122.087,0.709121709,24,9836.56116961688,99.1794392483486
"20071EX62B","TC58648","ex","2007-04-15","15","2007-05-05","35",NA,"9","9",49,NA,"EX62B","2007","EX62B","EX",446330.33,208317.71,8.01768,149.61,0.191247572,7,7357.01602530107,85.7730495278154
"20071EX7","TJ24354","ex","2007-04-18","18","2007-05-10","40",NA,"11","11",54,NA,"EX7","2007","EX7","EX",445561.33,208502.71,269.243,125.57,0.868103532,21,14837.6297228895,121.809809633254
"20071MP56","TJ26665","mp","2007-04-19","19","2007-05-06","36",NA,"8","8",50,NA,"MP56","2007","MP56","MP",448559.72,207079.76,41.904,65.418,-0.160644375,68,4461.4332986977,66.7939615436732
"20071W24","VE32883","w","2007-04-15","15","2007-05-07","37",NA,"10","10",51,NA,"W24","2005","W24","W",446185.33,209410.71,98.0263,66.3573,-0.016108692,30,4705.7404688308,68.5983998999306
"20071W54","TJ27563","w","2007-04-14","14","2007-05-04","34",NA,"9","8",48,NA,"W54","2007","W54","W",446073.33,209473.71,31.0737,64.0516,0.064898059,25,7340.13629984763,85.674595416889
